selector_name,selected_event_count,false_nucleus_rate,contact_cluster_precision,long_range_contact_recall,coupling_constraint_recall,real_vs_decoy_coupling_enrichment_ratio,real_beats_decoy_coupling_score_rate,mean_selected_coupling_selectivity_score,mean_decoy_coupling_selectivity_score,mean_coupling_decoy_selectivity_margin,mean_coupling_nucleus_score,mean_decoy_coupling_nucleus_score,mean_coupling_nucleus_decoy_margin,real_vs_decoy_coupling_nucleus_enrichment_ratio,real_beats_decoy_coupling_nucleus_score_rate,survives_targets,coordinate_truth_used_to_build_constraints,native_truth_used_before_coupling_selection,raw_sequence_exposed
external_registry_extension_expanded_external_low_confidence_tail,1,0.0,0.037109,0.069853,0.037946,3.704962,1.0,0.619188,0.167124,0.452064,0.475274,0.197827,0.277447,2.402473,1.0,False,False,False,False
external_registry_extension_expanded_external_calibrated_confidence_permuted,20,0.116667,0.065104,0.114875,0.138297,1.723733,1.0,0.570027,0.330693,0.239334,0.548954,0.349339,0.199615,1.571408,1.0,False,False,False,False
external_registry_extension_expanded_external_calibrated_cross_row_swapped,2,0.125,0.046875,0.0,0.018547,2.019679,1.0,0.724077,0.358511,0.365566,0.588083,0.280272,0.307811,2.098258,1.0,False,False,False,False
external_terminal_bridge_expanded_external_shuffled_same_row_same_separation,23,0.366667,0.069271,0.090002,0.104053,1.682516,1.0,0.467104,0.277622,0.189482,0.459056,0.309768,0.149288,1.481935,1.0,False,False,False,False
external_terminal_bridge_expanded_external_confidence_permuted,5,0.0625,0.03125,0.019108,0.020329,2.122582,1.0,0.444968,0.209635,0.235333,0.479913,0.279119,0.200794,1.719385,1.0,False,False,False,False
external_terminal_bridge_expanded_external_cross_row_swapped,1,0.0,0.046875,0.0,0.011194,1.905423,1.0,0.771765,0.405036,0.366729,0.591386,0.271969,0.319417,2.174461,1.0,False,False,False,False
external_terminal_bridge_expanded_external_random_long_range_same_count,23,0.458333,0.065104,0.152495,0.187043,1.313144,0.869565,0.584705,0.445271,0.139434,0.539776,0.431346,0.10843,1.251376,0.826087,False,False,False,False
external_terminal_bridge_expanded_external_low_confidence_tail,1,0.0,0.037109,0.069853,0.037946,3.704962,1.0,0.619188,0.167124,0.452064,0.475274,0.197827,0.277447,2.402473,1.0,False,False,False,False
external_terminal_bridge_expanded_external_calibrated_confidence_permuted,20,0.116667,0.065104,0.114875,0.138297,1.723733,1.0,0.570027,0.330693,0.239334,0.548954,0.349339,0.199615,1.571408,1.0,False,False,False,False
external_terminal_bridge_expanded_external_calibrated_cross_row_swapped,2,0.125,0.046875,0.0,0.018547,2.019679,1.0,0.724077,0.358511,0.365566,0.588083,0.280272,0.307811,2.098258,1.0,False,False,False,False
external_macro_scale_future_preserved_external_shuffled_same_row_same_separation,22,0.104167,0.032969,0.346387,0.28629,1.17233,0.818182,0.789446,0.673399,0.116047,0.674966,0.575308,0.099658,1.173225,0.863636,False,False,False,False
external_macro_scale_future_preserved_external_confidence_permuted,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
external_macro_scale_future_preserved_external_cross_row_swapped,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
external_macro_scale_future_preserved_external_random_long_range_same_count,27,0.125,0.029625,0.314897,0.385162,1.166702,0.888889,0.859938,0.737068,0.12287,0.720106,0.619859,0.100247,1.161725,0.777778,False,False,False,False
external_macro_scale_future_preserved_external_low_confidence_tail,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
external_macro_scale_future_preserved_external_calibrated_confidence_permuted,22,0.041667,0.029323,0.35528,0.262355,1.231894,0.818182,0.811815,0.658997,0.152818,0.686004,0.559728,0.126276,1.225602,0.727273,False,False,False,False
external_macro_scale_future_preserved_external_calibrated_cross_row_swapped,5,0.05,0.002312,0.0625,0.054739,1.459049,1.0,0.808437,0.554085,0.254352,0.638254,0.411878,0.226376,1.549619,1.0,False,False,False,False
external_multiscale_future_preserved_external_shuffled_same_row_same_separation,103,0.110633,0.029894,0.679105,0.560672,0.0,0.0,0.799461,0.0,0.799461,0.678243,0.0,0.678243,0.0,0.0,False,False,False,False
external_multiscale_future_preserved_external_confidence_permuted,3,0.0,0.020895,0.13473,0.127323,0.0,0.0,0.894981,0.0,0.894981,0.764887,0.0,0.764887,0.0,0.0,False,False,False,False
external_multiscale_future_preserved_external_cross_row_swapped,1,0.0,0.00354,0.034794,0.02684,0.0,0.0,0.972314,0.0,0.972314,0.791335,0.0,0.791335,0.0,0.0,False,False,False,False
external_multiscale_future_preserved_external_random_long_range_same_count,120,0.133829,0.029483,0.714164,0.738699,0.0,0.0,0.844238,0.0,0.844238,0.707949,0.0,0.707949,0.0,0.0,False,False,False,False
external_multiscale_future_preserved_external_low_confidence_tail,2,0.0,0.007517,0.158088,0.152329,0.0,0.0,0.759031,0.0,0.759031,0.613847,0.0,0.613847,0.0,0.0,False,False,False,False
external_multiscale_future_preserved_external_calibrated_confidence_permuted,88,0.030594,0.024807,0.566487,0.476606,0.0,0.0,0.821582,0.0,0.821582,0.683722,0.0,0.683722,0.0,0.0,False,False,False,False
external_multiscale_future_preserved_external_calibrated_cross_row_swapped,23,0.0625,0.004866,0.159794,0.104455,0.0,0.0,0.791993,0.0,0.791993,0.612999,0.0,0.612999,0.0,0.0,False,False,False,False
oracle_coordinate_positive_control,54,0.0,0.164128,0.397896,0.466536,1.693887,0.888889,0.722095,0.426295,0.2958,0.633603,0.381326,0.252277,1.661578,0.907407,True,True,True,False
